,metric,laplac_calc,fft_calc,optical_calc,reblur_calc,haff_calc,sobel_calc,hog_calc,lbp_calc,gabor_calc,ssim_calc,regression,lpips_calc
0,laplac_calc,1.0,0.09473684210526316,0.1473684210526316,0.16842105263157894,0.5894736842105264,0.6105263157894737,0.0736842105263158,-0.28421052631578947,-0.09473684210526316,-0.23157894736842105,0.16842105263157894,0.10526315789473685
1,fft_calc,0.09473684210526316,1.0,0.1473684210526316,0.5473684210526316,0.042105263157894736,0.4210526315789474,-0.6000000000000001,-0.30526315789473685,-0.5578947368421052,-0.7157894736842105,0.5894736842105264,0.7789473684210527
2,optical_calc,0.1473684210526316,0.1473684210526316,1.0,0.11578947368421053,-0.031578947368421054,0.2631578947368421,-0.10526315789473685,-0.08421052631578947,-0.18947368421052632,-0.28421052631578947,0.19999999999999998,0.24210526315789474
3,reblur_calc,0.16842105263157894,0.5473684210526316,0.11578947368421053,1.0,0.17894736842105263,0.22105263157894736,-0.3157894736842105,-0.08421052631578947,-0.35789473684210527,-0.43157894736842106,0.43157894736842106,0.49473684210526314
4,haff_calc,0.5894736842105264,0.042105263157894736,-0.031578947368421054,0.17894736842105263,1.0,0.4736842105263158,0.3157894736842105,-0.4210526315789474,0.12631578947368421,-0.11578947368421053,0.010526315789473684,0.010526315789473684
5,sobel_calc,0.6105263157894737,0.4210526315789474,0.2631578947368421,0.22105263157894736,0.4736842105263158,1.0,-0.16842105263157894,-0.6105263157894737,-0.2736842105263158,-0.43157894736842106,0.4105263157894737,0.4105263157894737
6,hog_calc,0.0736842105263158,-0.6000000000000001,-0.10526315789473685,-0.3157894736842105,0.3157894736842105,-0.16842105263157894,1.0,0.1368421052631579,0.6000000000000001,0.4210526315789474,-0.4210526315789474,-0.5894736842105264
7,lbp_calc,-0.28421052631578947,-0.30526315789473685,-0.08421052631578947,-0.08421052631578947,-0.4210526315789474,-0.6105263157894737,0.1368421052631579,1.0,0.0736842105263158,0.25263157894736843,-0.23157894736842105,-0.3157894736842105
8,gabor_calc,-0.09473684210526316,-0.5578947368421052,-0.18947368421052632,-0.35789473684210527,0.12631578947368421,-0.2736842105263158,0.6000000000000001,0.0736842105263158,1.0,0.5684210526315789,-0.5473684210526316,-0.5473684210526316
9,ssim_calc,-0.23157894736842105,-0.7157894736842105,-0.28421052631578947,-0.43157894736842106,-0.11578947368421053,-0.43157894736842106,0.4210526315789474,0.25263157894736843,0.5684210526315789,1.0,-0.6631578947368422,-0.7052631578947369
10,regression,0.16842105263157894,0.5894736842105264,0.19999999999999998,0.43157894736842106,0.010526315789473684,0.4105263157894737,-0.4210526315789474,-0.23157894736842105,-0.5473684210526316,-0.6631578947368422,1.0,0.6210526315789474
11,lpips_calc,0.10526315789473685,0.7789473684210527,0.24210526315789474,0.49473684210526314,0.010526315789473684,0.4105263157894737,-0.5894736842105264,-0.3157894736842105,-0.5473684210526316,-0.7052631578947369,0.6210526315789474,1.0
